,CASP biorep1 400min,CASP biorep1 511min,CASP biorep1 621min,EXP biorep2
mgtL,25,26,19,139
ssuE,1,3,3,2
secD,470,723,384,4871
bglB,8,5,8,7
kdpB,55,75,60,39
yihM,167,97,115,170
yijO,71,66,46,127
rraB,2810,2225,3352,1031
wecA,780,1025,849,1388
ydiS,33,32,19,36
HQ24_RS26000,3,0,5,2
stfQ,10,16,9,22
hycC,14,9,9,31
yjdC,3522,3306,2976,713
ycjR,12,11,4,53
ynjA,89,148,86,85
treF,1882,1582,2328,239
ycaD,229,157,145,334
HQ24_RS15275,158,91,84,208
dosC,11682,4777,9619,979
flhA,1291,238,442,6334
yieP,578,418,486,335
ppdD,3,3,0,17
yfaQ,76,48,43,61
yigI,432,384,381,224
pptA,25,97,76,53
ymdF,11170,2341,2362,131
yjtD,123,106,85,166
rrrD,18,17,21,19
ysaB,347,426,351,51
ppnP,549,483,494,538
uvrD,994,1054,731,2118
kdsD,909,355,402,990
ydhJ,194,47,34,256
chbR,197,82,133,144
HQ24_RS15265,1,0,1,0
fbaA,15201,6812,9566,12113
speC,131,135,113,1318
yebY,140,144,138,316
rluA,588,286,252,249
udp,3512,1650,1494,2644
HQ24_RS26830,13,5,9,63
dnaA,1220,839,694,2805
HQ24_RS26125,0,1,0,0
HQ24_RS01435,8,1,5,13
yjfC,25,27,24,14
HQ24_RS03455,64,39,48,782
cdsA,1293,1785,1087,2426
entH,75,11,30,337
ftsP,783,429,486,2244
hicB,243,302,339,147
ydcT,1437,1229,1249,2889
paaI,17,8,7,28
ydjF,167,159,186,205
rpoE,11913,9864,6663,2707
murQ,190,195,201,196
ynaA,56,34,31,35
yegT,69,75,76,192
murF,474,45,92,1783
pgaB,20,18,18,17
trkA,2479,3615,3465,1069
HQ24_RS26595,3,1,1,1
fhuE,212,132,112,513
rfbC,180,160,135,1245
trg,507,384,405,2771
ymgE,2403,3180,3630,51
tusE,75,25,44,175
wcaB,2,3,1,2
aspS,970,1529,997,5633
yehY,797,244,178,588
dmpG,83,112,97,46
trkH,1425,1129,1021,887
yphA,2363,2582,2427,348
HQ24_RS10295,423,281,261,68
yebG,2500,1542,3090,1242
agaS,50,105,86,52
cydD,131,78,63,832
phnH,1,1,0,2
chiA,673,484,425,372
btsT,96,147,100,115
flxA,65,38,54,149
hofO,6,0,1,14
waaO,222,189,176,439
rluC,148,95,82,1000
ibpA,390,158,208,281
yehA,16,22,18,6
eutN,0,0,1,7
yfcC,26,6,10,44
rna-HQ24_RS19955,2933,461,9606,3000
glgS,1591,331,1000,120
pth,172,198,129,297
sufA,1340,1501,1693,146
ypfH,1391,1596,1344,340
livM,63,30,34,2068
cas3,401,183,319,154
rho,2363,819,958,9819
yecJ,15,20,10,289
otsB,5411,2919,3588,445
HQ24_RS24295,21,20,30,11
ydfO,0,1,0,3
btsR,102,34,30,560
gfcB,1,9,5,9
nrfE,64,32,27,36
ubiB,513,246,228,1473
HQ24_RS25375,1,1,1,3
rseB,4932,2408,1854,4071
yfaL,425,227,261,445
galT,286,194,277,612
btuD,1037,240,231,1000
yahI,13,4,7,10
hslU,2582,2444,2490,1963
mppA,3500,1866,2095,2797
puuE,130,82,93,134
uxuR,951,1537,1540,410
gadB,2947,469,402,843
ppc,1140,349,570,4003
yadK,51,62,54,7
ydiY,40,28,32,853
xynR,92,77,47,175
pgaD,29,33,28,11
ftnB,285,395,386,788
yebO,591,236,259,2425
ytfQ,4990,2769,3039,1446
lpcA,674,929,621,1055
dcm,219,71,79,801
nfrA,612,287,423,309
trpB,258,196,208,4005
yfgH,14,14,9,11
bcsA,110,48,33,221
yohP,832,628,790,16
ymcF,1,1,0,119
rfaG,483,484,482,890
mgtT,15,2,2,42
ydiF,22,20,25,25
yfaV,85,37,52,99
puuD,728,1507,1684,346
gltL,57,62,43,982
ddlB,880,468,475,1408
yeaH,15940,4187,14337,1640
gpr,2541,5720,5141,1308
prpR,416,348,299,217
envC,161,116,103,1039
ycjM,10,9,10,79
HQ24_RS14945,78,44,33,23
ydjA,431,518,415,1062
yfjJ,21,11,25,5
yccJ,6763,11866,14134,408
yagB,46,39,36,37
HQ24_RS25980,2,4,5,1
HQ24_RS26045,32,17,14,9
HQ24_RS17955,130,258,186,172
HQ24_RS26630,2,1,1,0
allD,12,15,9,15
HQ24_RS12185,3,6,5,4
frlC,34,30,21,38
ilvA,249,99,107,362
fimC,17,12,14,108
ampE,356,824,343,244
codB,16,11,7,1596
rpsP,290,398,215,5550
uidA,143,188,205,266
yeiE,892,1171,1221,591
cmoB,182,59,75,618
yhdH,1477,2049,2001,734
hofN,4,1,2,14
yecE,107,17,25,303
HQ24_RS26735,0,1,0,0
yghD,16,29,15,30
dnaK,11030,3738,5587,8998
murJ,123,62,57,553
nanX,296,198,268,278
nanE,768,186,356,322
eno,36070,15087,22242,15868
ghoS,809,602,784,399
pgi,9510,5680,8538,3242
ybaE,247,387,385,161
ftsI,640,326,329,1144
sfmD,82,71,55,47
fur,2498,3416,3207,2105
bcsC,2288,1406,1281,621
coaA,138,95,100,1094
caiA,103,52,49,57
glnP,303,299,232,1998
HQ24_RS13875,14,10,4,457
ydjX,5,5,1,21
glpX,371,265,284,541
nuoC,2071,619,985,16860
ypfJ,4326,3667,4496,1146
yacG,305,193,209,133
yobA,122,126,122,190
rihC,67,145,73,758
glyA,480,1248,559,16948
ybdL,97,98,57,83
ndh,366,888,787,249
qseG,216,225,168,443
yafL,367,178,298,22
tfaR,54,36,43,25
yiiQ,31,23,25,110
ybcJ,44,31,35,202
folA,987,1722,1538,674
hisQ,827,123,144,1605
yaeF,29,20,13,66
murC,497,224,177,1948
HQ24_RS07745,15,7,5,11
HQ24_RS05350,2,2,0,3
ydjH,50,11,24,79
rusA,2,2,0,1
HQ24_RS09770,287,378,319,871
yfeC,169,190,209,298
zapG,2625,2203,2458,1130
adhP,5151,6673,4502,2975
bluR,824,598,688,1101
deoC,3385,4383,4473,394
envY,32,29,29,18
ffh,1588,2355,1857,2877
HQ24_RS18460,3,2,3,7
yhfY,54,56,52,43
acrB,1457,1080,902,7185
nudK,45,53,32,215
rna-HQ24_RS21225,1549,185,4392,1609
flgL,370,425,448,4202
yihL,58,56,78,91
nrdH,437,422,230,37
fliA,288,292,286,8108
satP,343,299,259,217
gadX,1921,604,570,39
ydfG,1237,1813,1262,2424
ymcE,0,0,0,15
dctR,97,11,10,30
nadB,181,42,66,862
ymgD,225,236,263,60
gltF,8,8,4,48
ygdQ,110,268,119,405
cysM,71,60,46,462
garP,155,119,235,31
flgB,5,2,1,4232
creB,177,204,132,399
yqjD,1283,4341,2350,898
thrA,759,929,640,1669
dhaR,205,169,220,277
panC,500,872,572,1730
glpA,5,9,16,17
yqfB,140,118,116,107
phnO,376,476,231,102
HQ24_RS12140,818,570,956,61
HQ24_RS26550,1,1,1,0
bcsR,1151,782,805,277
bglG,13,13,9,21
ettA,2544,6933,3579,6287
HQ24_RS03870,30,8,11,196
cyaY,149,85,85,211
yejM,1135,852,821,2966
yljB,121,88,99,48
rpoS,11973,44328,24473,26439
yjjA,186,134,110,290
flk,81,35,29,493
holC,329,335,308,462
ymdB,1109,766,874,862
HQ24_RS26715,2,1,0,1
yfeX,331,356,206,1002
cas1e,145,60,76,167
yagU,737,442,541,118
HQ24_RS01670,6,1,1,3
HQ24_RS13695,1,2,1,2
ybgC,182,117,142,547
traQ,9,18,16,388
mhpR,1364,2703,2141,652
yfdN,0,1,2,5
fadL,10217,7597,9349,16766
yghQ,10,7,6,20
allE,91,176,202,147
pepT,3976,7042,4828,645
HQ24_RS16880,23,32,17,189
gcvP,564,849,1364,29028
gmk,2098,1518,1314,941
HQ24_RS01555,148,81,81,282
infC,10017,5919,7400,15117
rarA,546,48,112,1055
murD,549,122,130,1706
rapZ,1456,422,599,1861
rdgC,341,373,280,588
sdaC,258,280,256,3404
slyD,8550,7435,6347,6619
lptB,2304,2772,1837,1564
treC,50,38,23,690
yidJ,36,37,34,42
aphA,91,171,81,803
traJ,667,277,340,1119
yjbF,3,3,4,8
frmR,281,310,202,108
mltF,81,74,55,214
ycdX,432,455,413,808
HQ24_RS12635,7,4,7,6
xdhD,217,120,166,186
HQ24_RS25955,89,85,88,100
yaiZ,104,105,92,159
flhe,3,3,4,785
yehQ,114,70,65,62
corA,630,1469,1047,946
csiE,9794,10661,18237,439
HQ24_RS26660,64,36,27,6
yecA,473,1086,773,1082
dgt,209,257,171,382
chiQ,24,22,16,25
lpxT,25,18,12,387
ycjT,24,22,19,90
ispU,476,476,277,3054
qorB,74,89,103,87
ycjG,1897,1291,1243,626
fecE,30,18,8,67
fliQ,0,1,2,890
hrpA,1839,1281,1665,1739
mlaE,558,656,600,1040
dnaE,970,656,646,3713
HQ24_RS08065,24,12,25,3
polB,2138,1585,1305,721
yihU,10,20,10,21
narL,183,247,218,300
tetR,70843,22601,60092,39454
hicA,57,82,58,31
fis,104,141,95,1988
gadE,234,93,37,94
hha,1447,726,1201,557
dusA,120,194,122,701
yrhB,90,68,100,13
HQ24_RS01910,122,79,56,99
nusB,203,278,143,1418
torA,75,72,62,60
macA,438,193,287,298
yedP,4883,4580,5787,296
HQ24_RS21245,3,2,1,21
yfaA,63,62,37,75
yfaZ,54,33,38,196
HQ24_RS20155,12,2,6,43
HQ24_RS01305,76,40,83,15
HQ24_RS11490,157,86,77,115
rsmA,1950,1521,1454,1610
nifJ,8006,3600,9073,2315
rfaH,292,610,367,157
nagB,1566,2370,2337,749
HQ24_RS26350,4,1,1,3
HQ24_RS03435,24,16,13,207
gorA,1289,1347,1078,1015
lysC,115,55,43,264
nrdE,3740,1688,949,536
HQ24_RS14995,9,16,9,18
astD,5434,3019,6731,4448
pgk,15541,13510,13492,8731
pqiA,1041,1077,869,474
ydhU,85,42,48,45
HQ24_RS05995,104,25,85,8
hyfH,15,6,10,14
kilR,12,11,13,0
yeaX,52,49,61,56
ftsB,750,417,472,465
HQ24_RS12610,105,52,110,36
gntT,373,849,460,444
atpB,679,399,366,10976
ygbL,63,33,30,32
yqcC,48,60,36,145
atpE,338,137,107,6816
emrB,290,282,298,563
ghrB,135,70,75,823
yraR,959,995,1255,116
ydiL,32,29,22,6
yhfL,51,35,40,8
mepK,1295,1053,703,2645
HQ24_RS03645,17,6,11,5
gspH,10,4,3,9
dgcP,223,56,103,1038
punR,270,140,188,103
malE,41,32,41,13878
tolB,3404,11113,7109,4239
yqgE,281,266,208,1250
ahpF,540,513,446,1350
ilvN,224,69,124,376
narW,600,20,40,176
rfbA,608,507,402,3538
dpaA,365,244,205,2147
rcsD,968,763,838,3202
elfG,131,71,67,82
mgtS,17,8,16,37
wecC,140,46,45,1323
xylF,319,102,105,310
adrA,267,183,229,38
sapD,645,447,759,437
fre,1377,1384,1115,1965
pdxY,66,17,30,925
yecM,151,181,180,219
ymdA,52,44,42,1327
lptA,2048,3173,2511,1125
nrfA,48,34,41,85
rclB,22,3,8,10
yjjJ,479,596,619,308
yibN,625,398,281,1572
ppx,1359,186,392,1455
HQ24_RS16560,23,16,26,160
HQ24_RS05340,141,78,62,255
araJ,460,267,306,129
glcB,1634,1907,1408,1742
HQ24_RS26875,76,23,40,231
fabR,360,472,344,1014
sgcA,235,107,189,38
yeeS,7,0,6,16
ygiQ,90,59,68,2505
HQ24_RS25940,7,2,8,13
rna-HQ24_RS21235,2743,408,9138,2527
HQ24_RS15230,74,29,72,60
fixC,6,3,5,25
argB,486,139,94,106
leuC,333,190,222,944
clpX,20683,14932,17459,5150
actS,244,116,159,521
malQ,1381,290,354,2287
ppdB,47,36,20,83
mutH,134,109,83,153
ybcO,0,1,0,1
astA,4705,8123,10217,4677
yehP,8,13,13,11
ubiK,458,334,349,594
csrD,773,383,315,1109
yhcC,36,17,9,25
acrZ,297,268,365,186
fimI,24,9,28,210
ddpX,786,551,419,850
rffA,533,839,649,650
ydfD,9,8,12,1
mdtB,788,99,232,405
mutL,783,218,246,1155
tdcC,98,45,49,122
nikC,15,12,9,9
cpsB,37,23,25,58
yjhG,475,138,217,268
hmpA,118,255,176,471
HQ24_RS08210,11,6,2,7
appA,327,335,252,128
mazF,145,133,124,118
ptsN,1756,442,732,1692
eutG,23,68,45,12
rtcB,575,1316,1092,102
yeiB,123,28,24,686
HQ24_RS06230,28,27,25,27
nlpI,6564,4058,4192,9157
HQ24_RS15045,7,2,7,608
smpB,201,165,162,1285
holB,146,161,90,515
rhaR,41,94,43,57
tauC,22,22,18,7
hemD,953,571,558,755
lacA,28,28,35,36
ynfH,98,63,54,143
grxB,3122,3056,3617,424
ybdK,6869,4202,6307,435
HQ24_RS26340,2,1,1,0
metE,309,219,188,2934
nuoF,1524,369,498,11577
hda,131,210,122,895
cydB,3894,3179,4140,3305
hisL,30,13,15,21
cheZ,101,67,39,2165
miaA,8187,8075,5881,3095
HQ24_RS00080,250,108,112,1128
HQ24_RS21075,25,22,6,338
ghxP,48,40,37,3034
lhgO,1951,589,1324,483
ycaO,139,72,67,1630
rhaD,10,0,2,7
dgoT,48,37,33,42
lolA,590,207,431,962
ligB,73,53,56,103
iadA,109,81,105,403
yeiW,3,1,4,94
ykiE,10,7,7,2
mokC,274,229,228,147
gcvR,1312,1144,900,642
aspA,13982,11677,13838,17926
pqiC,418,225,327,221
rlmE,7526,6368,7064,4182
bcsF,123,5,13,93
yojI,154,122,91,1457
uspB,7035,8735,11464,228
flgH,18,14,11,6003
ykfG,1,3,3,0
paoB,347,363,295,107
sutR,55,36,36,90
sapC,322,485,572,171
yajI,166,314,235,25
cobO,111,61,59,356
csgE,82,15,17,469
glgP,3235,1016,1484,4012
hofP,2,2,1,9
psuG,30,16,19,108
relB,556,729,984,136
yicL,397,77,116,186
modE,130,115,95,233
hycI,591,536,617,144
nhaA,6600,4821,3944,829
HQ24_RS26200,98,46,72,30
secY,14521,15666,11044,61922
HQ24_RS06610,59,48,32,144
wcaK,20,7,9,49
HQ24_RS03880,21,11,7,160
HQ24_RS12105,53,23,27,3
lysS,1320,1282,1281,8429
yegV,75,30,42,220
HQ24_RS18820,79,62,60,49
HQ24_RS26840,291,219,203,81
yfdR,4,0,3,2
ybdN,71,23,40,22
ypjA,5684,3399,4334,431
tdh,2868,5313,4215,3134
nepI,49,30,30,64
rtcR,80,56,75,60
copA,1403,836,893,546
yfjM,5,0,4,7
ygiC,2401,467,876,4630
ddpB,278,6,17,941
mlaC,1891,2645,2297,1440
HQ24_RS01370,58,70,65,49
HQ24_RS15240,4,3,5,8
cstA,13333,15198,14907,18630
diaA,281,210,120,856
sseA,3048,3811,4212,2033
valS,3509,2448,2498,6531
xylE,72,66,70,71
ygcR,16,8,3,36
tdcF,25,28,23,31
HQ24_RS19540,31,23,28,73
vsr,30,1,2,125
fliT,13,9,4,1258
fucI,146,53,78,411
mltB,401,489,283,622
HQ24_RS11545,6,7,8,3
cmtB,2,1,6,4
HQ24_RS26240,2,5,1,1
arsR,18,22,11,27
rpsT,440,390,313,4629
tcyP,387,930,749,692
yhfK,148,32,28,1885
secA,618,469,504,5985
HQ24_RS26345,1,1,3,3
lpoA,587,212,270,1942
yaaI,2,1,0,5
eutC,56,78,91,162
fhuB,196,27,28,749
iaaA,1483,1132,1115,488
tsaD,819,1591,959,967
setA,248,131,196,221
ydcZ,115,56,41,146
HQ24_RS26410,8,5,9,2
ytfT,913,95,305,179
HQ24_RS22660,18,25,24,32
HQ24_RS15835,10,4,6,6
gshB,593,812,734,1465
ydiM,34,29,21,17
yijF,5,4,1,3
ytjA,8888,6098,9225,313
kduD,132,126,156,288
dcuS,107,47,95,442
gltK,28,23,13,635
ribB,4454,6927,6716,2070
yfcE,565,736,497,645
mdfA,1969,3010,2570,349
ychN,198,213,191,185
yrbN,75,76,117,241
grxD,937,1321,853,1182
leuL,6,10,10,2
HQ24_RS21080,20,31,18,484
hprR,190,142,206,171
rplY,203,92,106,6168
speD,149,67,98,1650
rpsM,3441,3298,2235,25048
pheM,81,22,19,203
znuB,390,230,182,338
hypD,252,178,108,262
ecpA,42,50,52,87
HQ24_RS03450,43,43,20,506
umuC,1095,709,681,219
cysK,1374,1037,823,3815
yfdQ,67,11,11,40
zraP,27,16,47,0
uvrY,972,1169,731,1283
truA,422,269,233,1027
cadA,20,17,12,24
xylG,147,20,25,157
yhdN,488,457,385,202
hprS,232,112,153,323
trpE,15,0,5,1928
potE,175,225,242,54
uhpT,249,235,312,96
tap,696,145,372,5442
rutG,158,96,82,45
baeS,168,69,61,108
cdh,4,6,6,60
HQ24_RS19560,22,20,13,31
yagE,389,454,505,342
tisB,22330,22544,27130,2926
HQ24_RS07205,785,758,625,567
exoX,116,204,113,394
cueR,298,247,254,180
metB,82,93,49,435
rdcB,212,219,195,813
mrcB,590,748,483,1474
HQ24_RS01110,1,1,3,1
HQ24_RS01460,76,11,13,26
pspB,487,3136,1785,46
azuC,16,10,21,30
cydC,146,66,80,702
yfgG,1038,502,585,641
dcuR,92,102,105,416
frr,6201,10609,6824,5375
mntP,3,1,4,14
dapA,1227,1850,1085,5726
HQ24_RS05275,1,0,0,7
HQ24_RS23475,635,356,356,327
HQ24_RS01560,200,97,131,60
yhdP,1011,466,618,1943
yfcU,448,307,316,163
murG,420,130,155,1329
rpsH,1201,2820,1294,17578
wzc,16,16,10,31
ygdI,782,1648,1885,265
yejB,67,14,20,269
HQ24_RS25595,2,2,3,4
cheR,107,24,36,1910
ybgA,1294,732,855,181
napF,25,19,20,61
fliZ,125,150,134,5372
elfD,3,2,2,16
aroG,1121,1854,1240,1353
argO,39,23,12,49
cspB,306,344,227,2934
cutA,66,28,34,166
rbsA,784,306,358,1832
gstB,453,822,440,988
torT,149,91,83,40
queD,12,3,4,204
gfcE,22,24,25,22
yjbQ,1856,2321,2199,447
wcaL,30,9,13,99
nirB,151,97,103,40
frwC,11,23,10,36
yaiA,971,535,887,292
purE,8,3,2,957
HQ24_RS03860,48,16,16,289
pppA,35,20,13,44
ygbE,87,50,41,162
gfcC,3,1,1,10
recJ,787,958,487,1649
rsmE,190,258,210,401
ygcQ,13,8,10,39
HQ24_RS01605,15,24,28,14
HQ24_RS21405,3,2,6,7
codA,135,80,86,2400
nusG,3123,2110,2101,4038
ppsR,993,1278,1229,779
yqcE,5,8,5,28
ycgV,184,123,98,129
adiC,81,42,48,17
nanS,684,189,333,84
yggX,92,110,90,374
fliD,172,56,61,7140
aas,1319,611,537,1245
amyA,5158,1743,2654,4685
modF,271,96,125,612
rutA,7,17,17,2
uup,752,353,428,1856
dmlR,1219,2387,1911,520
ftsA,1936,1193,1277,2103
glxK,256,91,80,161
hdfR,401,272,314,180
focB,26,22,14,41
yiaJ,100,72,98,283
pldB,414,425,334,751
kch,458,233,335,188
HQ24_RS25810,10,3,4,0
HQ24_RS26460,247,177,450,135
nupC,852,949,724,3405
hipA,493,432,451,278
HQ24_RS12625,32,28,27,10
rpmE,3215,4937,4606,4147
dgoD,207,71,77,77
yedF,22,12,15,75
yjcB,39,33,54,38
trkG,194,140,145,177
HQ24_RS14760,795,744,597,537
ygfI,52,33,33,81
blr,23,16,6,138
scpA,25,15,14,30
HQ24_RS26135,60,33,64,43
nuoI,469,72,128,3651
HQ24_RS01170,138,105,100,35
yghB,1660,1619,1542,714
relA,750,613,482,2137
bamB,3860,2906,2184,5164
rna-HQ24_RS01035,2805,384,9149,2771
rimJ,429,759,679,312
yraK,80,50,53,44
aceE,2781,1719,2315,9639
yliI,916,356,485,360
HQ24_RS06870,308,375,316,1000
malY,209,140,161,1052
ygjJ,22,5,9,31
rpsG,6572,14478,9282,25962
HQ24_RS12400,15,11,5,283
etp,27,49,31,16
pdeG,806,311,552,55
yeaG,46852,41346,80754,5870
rffT,394,268,223,429
HQ24_RS01310,251,121,154,125
cls,1536,2199,1744,766
ydhY,13,13,18,17
HQ24_RS26105,0,1,0,1
rsd,1293,2446,1436,807
HQ24_RS21915,235,298,135,48
ydcR,344,298,243,661
brnQ,4035,8976,8132,1544
rnlB,1042,592,556,430
yafZ,2,2,0,2
yjhR,45,20,22,35
yjdI,384,273,267,66
dkgB,42,27,44,105
yobD,123,118,108,234
emrD,152,129,94,142
galS,109,261,111,270
HQ24_RS15080,79,76,59,3179
frdD,484,1240,631,812
safA,1,1,0,0
HQ24_RS26620,7,1,0,2
clsC,1947,652,917,619
mukE,117,27,35,1022
waaZ,118,92,105,194
yibF,818,1093,635,880
yaiI,77,102,61,169
iscS,4353,6984,4853,7255
rsmG,56,72,58,334
yrdA,1068,952,941,887
pdxA,247,99,84,1943
HQ24_RS18490,25,20,26,6
ygdB,28,23,12,62
preA,101,49,61,122
yciN,598,431,500,322
cnoX,619,379,536,823
holA,540,191,227,887
murA,359,390,199,3421
rlmF,66,48,62,236
yajL,283,253,322,141
yfeS,133,89,66,333
ygaC,364,542,626,57
yggL,783,667,582,718
gntR,1358,1152,947,649
hybE,46,68,45,126
lepA,1785,957,1012,7447
rtcA,466,370,372,117
fadH,4045,2236,2496,2238
gph,189,196,139,1159
deoR,179,189,172,549
yfaU,67,38,34,67
mobB,170,151,173,98
HQ24_RS26645,1,0,0,2
yjiR,193,658,447,218
gspL,26,17,16,30
dapD,1036,1833,1271,2082
ftsL,273,113,146,278
tolA,952,1037,911,1356
mdtO,12,9,4,17
cysS,203,536,257,1073
dacB,106,54,34,601
paaJ,354,353,288,930
plsB,2490,1124,968,3992
HQ24_RS10735,33,28,29,7
pqiB,876,748,726,695
yajR,91,85,68,421
yobI,49,50,73,4
gsiA,1024,610,612,670
modB,146,193,127,616
panD,847,2886,1434,914
fkpA,2027,1224,1047,4542
mhpT,215,96,124,54
ygjV,20,10,18,36
HQ24_RS15575,5,5,2,12
yobB,251,169,168,272
cspD,34399,25154,27440,7932
yegW,105,147,145,245
accC,420,222,210,11103
crp,2060,5595,2680,4983
HQ24_RS14800,2604,716,997,1662
HQ24_RS22615,747,734,553,498
fimH,220,133,176,83
malI,242,372,339,218
rpmC,440,699,272,5513
HQ24_RS10195,24,20,16,11
rpmH,525,663,462,2164
srlD,439,180,299,245
hemH,1106,1381,1100,290
hcaB,46,50,27,120
nuoB,1888,556,827,8114
tauD,69,56,82,24
ybhR,163,35,70,130
sfmF,4,3,7,9
arcB,1986,725,1259,1677
ybgP,8,2,3,2
yqfA,5691,7658,5551,5642
ydeE,330,100,109,596
fliG,29,10,13,8164
fecI,943,203,267,329
mhpB,15,17,9,16
uvrB,3466,2843,3340,1656
ynjH,182,222,172,100
asnC,180,188,198,54
agaD,27,14,29,31
ynjI,27,19,20,124
tgt,100,107,72,2796
yieK,38,25,22,28
gpmB,356,844,421,1021
yiaC,76,60,71,153
lptD,7089,5594,7318,6834
srlE,375,268,421,203
acrD,216,130,122,371
ulaA,37,74,79,62
rpnA,7,13,10,25
ybcN,0,0,2,2
iscU,1670,2458,2222,2671
panE,543,750,921,165
prc,1322,635,524,9318
ydjG,91,75,58,126
yhhI,17,8,20,11
kduI,65,57,47,331
hslV,1217,1551,1395,601
dgcJ,338,177,266,310
HQ24_RS26335,21,11,8,5
kdgK,152,163,130,257
loiP,1903,2934,2652,808
HQ24_RS17375,3344,2764,1929,2558
ydaT,119,136,133,16
ydiR,80,97,84,39
rsmH,1184,1519,1194,1102
menH,145,44,34,368
dmsC,112,94,100,82
udk,138,72,61,596
HQ24_RS26860,1618,1771,1342,1163
yoaB,102,146,92,637
ribD,330,409,329,1248
trxB,268,523,264,1502
HQ24_RS26505,3,2,1,2
lpxC,7810,22925,16428,8853
argG,1484,1271,850,1009
osmY,24708,30407,38586,885
ugpC,1094,433,335,881
deaD,2851,5331,3282,5800
ugpB,7751,3138,3763,1846
ydhX,31,23,30,37
puuP,609,188,342,326
yggM,20,8,14,24
hemX,983,547,515,1378
dgcF,82,60,37,241
tnaC,1,4,3,14
nlpC,1043,1422,1235,626
ydjM,429,693,713,201
ygjH,175,193,248,39
ytfJ,1300,4647,2852,1228
proB,833,1510,924,1478
yphH,198,182,193,219
yaeI,40,12,12,120
idnO,49,18,25,52
aroF,1094,810,1151,630
polA,1670,1322,1663,2997
pheT,7371,5490,5041,8461
yggT,137,275,167,662
ybdG,123,107,118,311
ybcH,119,59,104,57
yhcN,121,154,216,11
yeaE,215,158,144,501
hfq,8142,5568,7243,3322
HQ24_RS07300,1301,926,636,946
cbrC,62,39,49,2350
tolR,165,128,81,414
leuE,225,288,252,301
cbdX,19,7,11,9
pyrC,30,16,22,2713
rimP,532,546,474,1966
lpp,50105,108418,54970,29793
recN,11484,9735,11638,3005
ybbO,99,69,87,341
hldE,1413,1905,1580,1899
fhuF,5783,2938,2811,5379
iprA,6,4,5,3
HQ24_RS17110,1,0,0,3
yadI,326,199,225,212
yfbR,84,157,100,237
HQ24_RS10900,51,37,35,118
nuoM,664,135,165,9647
dapF,511,715,307,1299
abgR,192,173,167,437
rfaD,2514,1341,1835,1367
galE,438,508,505,649
HQ24_RS01545,7,2,6,2
dapB,419,464,317,657
rimK,184,89,110,452
marA,33,38,34,100
rimL,200,141,102,210
cho,306,224,212,376
gsiC,256,44,63,216
cpoB,1681,876,1037,3684
dppA,1852,549,493,20817
feaR,1548,927,1024,1876
gabP,606,26,75,488
HQ24_RS22670,35,26,20,64
ascG,177,211,170,663
bolA,28337,17398,30269,1103
gltJ,49,22,10,859
fhuA,2455,1479,2043,3219
ytiA,11,2,0,9
garR,423,354,318,80
adiY,80,53,67,4
hypC,6,10,1,26
nth,27,10,10,373
HQ24_RS07010,39,29,32,29
groL,2991,2775,2495,16075
cyuP,47,88,320,75
oxc,46,54,34,33
narP,317,836,585,404
recR,644,1163,648,1560
yajC,426,591,421,2942
dppD,36,14,20,2474
trmB,1179,1153,931,818
ygaH,9,0,5,333
yqeH,5,7,3,7
uhpA,92,67,61,415
HQ24_RS12645,202,137,158,367
kefG,422,224,309,231
ydjK,7,7,5,87
yghO,9,6,8,20
rfaF,1532,204,353,1379
yncE,750,830,698,4062
HQ24_RS15200,81,108,96,156
syd,309,355,370,287
flgF,19,20,11,11084
bcsE,3357,386,927,1750
yehM,50,34,30,28
yjfP,212,79,94,78
ychO,120,76,88,178
sgrR,176,114,141,267
yfaY,743,1469,1067,576
mltA,196,158,130,670
pdhR,171,253,192,412
tuf,25131,23939,20532,136057
ampG,54,21,8,1453
fimE,13,19,19,16
ychE,108,116,91,132
zraS,44,58,51,116
skp,2778,4639,2684,4660
pabB,102,66,62,447
ydaN,2,2,1,2
HQ24_RS26810,1,4,0,12
higB,3,11,6,29
yahB,126,68,69,114
php,13,22,21,9
flgG,25,35,19,11669
ilvY,665,886,601,199
mukB,793,273,339,6572
HQ24_RS07220,1946,1226,1460,1092
bdcR,87,81,43,120
yfaT,7,6,11,7
yghU,1957,1857,1209,1692
flgA,53,57,41,3380
citD,0,0,0,1
guaC,144,175,124,2022
prfA,220,77,98,856
pdxI,1715,2688,1891,689
sieB,11,12,16,5
atpF,605,318,237,12602
ihfA,38680,44347,49440,7052
mdtA,458,303,378,151
paoD,438,131,201,70
ybaY,10671,33601,25021,1028
sgcC,1576,849,1505,124
aceK,1342,290,357,429
HQ24_RS02845,281,348,307,921
ybbY,255,154,154,84
ydgI,481,255,187,499
lpxP,507,242,217,2163
ghrA,327,520,339,583
rseP,1563,1167,1017,4686
lpxH,137,51,38,728
modC,222,151,103,814
galF,4200,8491,5667,4785
dgoK,115,145,127,107
rpsD,3528,3775,2059,37029
ptsG,7865,11611,11464,4048
ygiB,2771,1728,2420,3002
potG,383,113,150,891
mcrB,60,42,50,200
folX,1019,1969,1603,533
entD,39,27,30,220
HQ24_RS26855,7,6,2,32
ompP,2434,1158,1943,9085
pyk,2872,2434,2979,5664
pepE,83,68,40,450
acpS,120,79,55,287
yjaZ,17,19,17,53
timP,128,59,64,198
gcd,13874,3468,6163,1290
atpD,1080,794,696,30008
